efternamn,tilltalsnamn,parti,valkrets,fodd_ar,examen,studietid_ar,studietid_not,yrkesar_ex_politik,yrkesar_totalt,yrkesar_not,utbildning_raw,anstallningar_raw
"Risberg","Jacob","MP","Uppsala län","1972","andra","12","härledd 1991→2003","20","20","spann-summa","Brinellskolan, Fagersta, slutår 91. Musiklinjen, Sjöviks folkhögskola, Folkärna, 93–97. Statskunskap, freds- och konfliktkunskap samt andra småkurser, Uppsala universitet 97–03.","Musiklärare vik., Uppsala Waldorfskola, Uppsala 02–04. Informatör vik., Musik i Uppland, Uppsala 04–05. Assistent och orkesterinspicient, Musik i Uppland, Uppsala 05-08. Ekumenisk följeslagare, Sveriges Kristna Råd, Palestina 08. Informatör, Sveriges Kristna Råd, Duvbo 08–09. Klimatpolitisk handläggare samt policyhandläggare för Mellanöstern, Svenska kyrkans internationella avdelning, Uppsala 09-14. Pr-konsult, Westander, Stockholm, 14–22."
"Shekarabi","Ardalan","S","Uppsala län","1978","","","Utbildning saknas","","","Anställningar saknas","",""
"Sjöblom","Inga-Lill","S","Uppsala län","1959","Barnskötarutbildning; Vårdarinneutbildning","4","härledd 1977→1981","","","inga daterade spann","Gymnasieskola, Uppsala, slutår 77. Barnskötarutbildning, slutår 80. Vårdarinneutbildning 81.","Vårdarinna, landstinget Uppsala/Uppsala kommun 77. Boendeassistent, Uppsala kommun."
"Szatmári Waldau","Ilona","V","Uppsala län","1962","Fil.kand.","","ett årtal (studietid ej härledbar)","36","36","spann-summa","Fil.kand., Uppsala universitet. Grundkurs i journalistik, Poppius Journalistskola 88.","Korrekturläsare/telefonmottagare, Västgötademokraten 80–81. Barnskötare, Borås kommun 81–82. Sjukvårdsbiträde, Älvsborgs läns landsting 82–83. Telefonmottagare, arkivare, familjeredaktör, Borås Tidning 84. Korrekturläsare, Upsala Nya Tidning, vikariat 85–91. Studiestödsutredare, CSN, 91–18, tjänstledig från 97. Borgarrådssekreterare, Stockholms kommun 97–06. Kommunalråd, Uppsala 06–18."
"Bäckström","Daniel","C","Värmlands län","1975","","","Utbildning saknas","","","Anställningar saknas","",""
"Dahlqvist","Mikael","S","Värmlands län","1967","","","inga årtal","37","37","spann-summa, pågående=2025","Vårdlinjen, Älvstrandsgymnasiet. Hälso-och sjukvårdslinjen, Hälsohögskolan Falun. VUB öppen hälso- och sjukvårdslinje, Karlstad. Folkhälsovetenskap, Nordiska Hälsovårdshögskolan, Göteborg.","Sjukskötare/distriktsskötare, Landstinget i Värmland 88–03. Områdeschef, äldreomsorgen, Hagfors kommun 03–."
"Elofsson","Blåvitt","S","Värmlands län","1953","","","Utbildning saknas","","","Anställningar saknas","",""
"Filper","Runar","SD","Värmlands län","1964","anläggningsteknisk; tråddragare","29","härledd 1980→2009","12","16","spann-summa; 1 politiskt segment borträknat","Snickare, bygg- och anläggningsteknisk linje på Nobelgymnasiet, Karlstad 80–82. Allmän värnplikt, Signalist och tråddragare på I2 i Karlstad 83–84. Allmän linje, Gävle folkhögskola 89. Gymnasiekompetens, italienska, Statens skola för vuxna, Härnösand 90–91. Italienska språket, italiensk nutidshistoria, litteratur och kultur, Universitá per Stranieri, Perugia i Italien 92. Ubefaren skibsassistent (lättmatros), Nyborgs sjöfartsskola på Fyn, Danmark 96. Klarälvsdalens folkhögskola i Sunne 97–98, 00. Statsvetenskap A och Kulturgeografi A, Karlstads universitet 08–09.","Arbetscentralen, Sunne kommun 82–83. Parkarbetare, Sunne kommun 84. Biblioteksassistent, Sunne kommunbibliotek 86. Plastsvetsare, Lesjöfors Plast AB 87. Mjölarbetare, Engelhardt & Co AB, Västra Frölunda 90. Fastighetsskötare, Familjebostäder AB i Göteborg 90. Museiassistent på foto- och samlingsavdelningen, Murberget, Västernorrlands länsmuseum, Härnösand 95. Trädgårdsarbetare, Johnnys Blommor i Sunne 97. Metallarbetare, Samhall AB 98–07. Jordbruksarbetare, Östra Ämtervik, 07–08. Regional valorganisatör, Sverigedemokraterna 09–10. Riksombudsman, Sverigedemokraterna 10–14."
"Larsson","Lars Mejern","S","Värmlands län","1965","anläggning","","ett årtal (studietid ej härledbar)","21","21","spann-summa","Gymnasieskola, bygg och anläggning, Karlstad, slutår 83.","Posten, Tomteboda och Karlstad 85–87. Snickare, Diös/Siab i Karlstad 87–95. Ombudsman, Bygg 29:an i Värmland 95–06."
"Lund Kopparklint","Marléne","-","Värmlands län","1973","","","Utbildning saknas","","","Anställningar saknas","",""
"Ottosson","Kjell-Arne","KD","Värmlands län","1975","","21","härledd 1991→2012","20","20","spann-summa","Samhällsvetenskaplig linje, Solbergaskolan, Arvika 91–94. Grundskollärarprogrammet, Högskolan i Karlstad, 95–98. Norsk 1, Høgskolen i Østfold, Halden 11–12.","Grundskollärare, Årjängs kommun 98–09. Adjunkt, Rømskog skole 09–18."
"Quensel","Charlotte","SD","Värmlands län","1961","","","Utbildning saknas","","","Anställningar saknas","",""
"Resare","Magnus","M","Värmlands län","1987","","","Utbildning saknas","","","Anställningar saknas","",""
